Date of Data,Code,Company Name,Nikkei Industrial Classification,Sector,Weight
"2025/07/31","5020","ENEOS HOLDINGS, INC.","Petroleum","Materials","0.0652%"
"2025/07/31","5101","THE YOKOHAMA RUBBER CO., LTD.","Rubber","Materials","0.1788%"
"2025/07/31","5108","BRIDGESTONE CORP.","Rubber","Materials","0.5041%"
"2025/07/31","5201","AGC INC.","Glass & Ceramics","Materials","0.0747%"
"2025/07/31","5214","NIPPON ELECTRIC GLASS CO., LTD.","Glass & Ceramics","Materials","0.1000%"
"2025/07/31","5233","TAIHEIYO CEMENT CORP.","Glass & Ceramics","Materials","0.0305%"
"2025/07/31","5301","TOKAI CARBON CO., LTD.","Glass & Ceramics","Materials","0.0851%"
"2025/07/31","5332","TOTO LTD.","Glass & Ceramics","Materials","0.1599%"
"2025/07/31","5333","NGK INSULATORS, LTD.","Glass & Ceramics","Materials","0.1576%"
"2025/07/31","5401","NIPPON STEEL CORP.","Steel","Materials","0.0240%"
"2025/07/31","5406","KOBE STEEL, LTD.","Steel","Materials","0.0137%"
"2025/07/31","5411","JFE HOLDINGS, INC.","Steel","Materials","0.0144%"
"2025/07/31","5631","THE JAPAN STEEL WORKS, LTD.","Machinery","Capital Goods/Others","0.1549%"
"2025/07/31","5706","MITSUI MINING & SMELTING CO.","Nonferrous Metals","Materials","0.0530%"
"2025/07/31","5711","MITSUBISHI MATERIALS CORP.","Nonferrous Metals","Materials","0.0191%"
"2025/07/31","5713","SUMITOMO METAL MINING CO., LTD.","Nonferrous Metals","Materials","0.1379%"
"2025/07/31","5714","DOWA HOLDINGS CO., LTD.","Nonferrous Metals","Materials","0.0815%"
"2025/07/31","5801","FURUKAWA ELECTRIC CO., LTD.","Nonferrous Metals","Materials","0.0756%"
"2025/07/31","5802","SUMITOMO ELECTRIC IND., LTD.","Nonferrous Metals","Materials","0.3090%"
"2025/07/31","5803","FUJIKURA LTD.","Nonferrous Metals","Materials","0.8530%"
"2025/07/31","5831","SHIZUOKA FINANCIAL GROUP, INC.","Banking","Financials","0.1474%"
"2025/07/31","6098","RECRUIT HOLDINGS CO., LTD.","Services","Consumer Goods","2.2326%"
"2025/07/31","6103","OKUMA CORP.","Machinery","Capital Goods/Others","0.1357%"
"2025/07/31","6113","AMADA CO., LTD.","Machinery","Capital Goods/Others","0.1403%"
"2025/07/31","6146","DISCO CORP.","Precision Instruments","Technology","0.7490%"
"2025/07/31","6178","JAPAN POST HOLDINGS CO., LTD.","Services","Consumer Goods","0.1153%"
"2025/07/31","6273","SMC CORP.","Machinery","Capital Goods/Others","0.4333%"
"2025/07/31","6301","KOMATSU LTD.","Machinery","Capital Goods/Others","0.4000%"
"2025/07/31","6302","SUMITOMO HEAVY IND., LTD.","Machinery","Capital Goods/Others","0.0553%"
"2025/07/31","6305","HITACHI CONST. MACH. CO., LTD.","Machinery","Capital Goods/Others","0.3609%"
"2025/07/31","6326","KUBOTA CORP.","Machinery","Capital Goods/Others","0.1389%"
"2025/07/31","6361","EBARA CORP.","Machinery","Capital Goods/Others","0.2302%"
"2025/07/31","6367","DAIKIN INDUSTRIES, LTD.","Machinery","Capital Goods/Others","1.5312%"
"2025/07/31","6471","NSK LTD.","Machinery","Capital Goods/Others","0.0596%"
"2025/07/31","6472","NTN CORP.","Machinery","Capital Goods/Others","0.0212%"
"2025/07/31","6473","JTEKT CORP.","Machinery","Capital Goods/Others","0.1077%"
"2025/07/31","6479","MINEBEA MITSUMI INC.","Electric Machinery","Technology","0.1971%"
"2025/07/31","6501","HITACHI, LTD.","Electric Machinery","Technology","0.3862%"
"2025/07/31","6503","MITSUBISHI ELECTRIC CORP.","Electric Machinery","Technology","0.2748%"
"2025/07/31","6504","FUJI ELECTRIC CO., LTD.","Electric Machinery","Technology","0.1246%"
"2025/07/31","6506","YASKAWA ELECTRIC CORP.","Electric Machinery","Technology","0.2616%"
"2025/07/31","6526","SOCIONEXT INC.","Electric Machinery","Technology","0.2388%"
"2025/07/31","6532","BAYCURRENT, INC.","Services","Consumer Goods","0.3566%"
"2025/07/31","6594","NIDEC CORP.","Electric Machinery","Technology","0.3832%"
"2025/07/31","6645","OMRON CORP.","Electric Machinery","Technology","0.3222%"
"2025/07/31","6674","GS YUASA CORP.","Electric Machinery","Technology","0.0449%"
"2025/07/31","6701","NEC CORP.","Electric Machinery","Technology","0.1808%"
"2025/07/31","6702","FUJITSU LTD.","Electric Machinery","Technology","0.2717%"
"2025/07/31","6723","RENESAS ELECTRONICS CORP.","Electric Machinery","Technology","0.1534%"
"2025/07/31","6724","SEIKO EPSON CORP.","Electric Machinery","Technology","0.3166%"
"2025/07/31","6752","PANASONIC HOLDINGS CORP.","Electric Machinery","Technology","0.1184%"
"2025/07/31","6753","SHARP CORP.","Electric Machinery","Technology","0.0590%"
"2025/07/31","6758","SONY GROUP CORP.","Electric Machinery","Technology","1.5135%"
"2025/07/31","6762","TDK CORP.","Electric Machinery","Technology","2.2901%"
"2025/07/31","6770","ALPS ALPINE CO., LTD.","Electric Machinery","Technology","0.1315%"
"2025/07/31","6841","YOKOGAWA ELECTRIC CORP.","Electric Machinery","Technology","0.3312%"
"2025/07/31","6857","ADVANTEST CORP.","Electric Machinery","Technology","6.8073%"
"2025/07/31","6861","KEYENCE CORP.","Electric Machinery","Technology","0.4538%"
"2025/07/31","6902","DENSO CORP.","Electric Machinery","Technology","0.6761%"
"2025/07/31","6920","LASERTEC CORP.","Electric Machinery","Technology","0.5104%"
"2025/07/31","6952","CASIO COMPUTER CO., LTD.","Electric Machinery","Technology","0.0985%"
"2025/07/31","6954","FANUC CORP.","Electric Machinery","Technology","1.7557%"
"2025/07/31","6963","ROHM CO., LTD.","Electric Machinery","Technology","0.1569%"
"2025/07/31","6971","KYOCERA CORP.","Electric Machinery","Technology","1.1852%"
"2025/07/31","6976","TAIYO YUDEN CO., LTD.","Electric Machinery","Technology","0.2349%"
"2025/07/31","6981","MURATA MANUFACTURING CO., LTD.","Electric Machinery","Technology","0.4474%"
"2025/07/31","6988","NITTO DENKO CORP.","Chemicals","Materials","1.2912%"
"2025/07/31","7004","KANADEVIA CORP.","Machinery","Capital Goods/Others","0.0168%"
"2025/07/31","7011","MITSUBISHI HEAVY IND., LTD.","Machinery","Capital Goods/Others","0.2984%"
"2025/07/31","7012","KAWASAKI HEAVY IND., LTD.","Shipbuilding","Capital Goods/Others","0.0914%"
"2025/07/31","7013","IHI CORP.","Machinery","Capital Goods/Others","0.1396%"
"2025/07/31","7186","CONCORDIA FINANCIAL GROUP, LTD.","Banking","Financials","0.0831%"
"2025/07/31","7201","NISSAN MOTOR CO., LTD.","Automobiles & Auto parts","Technology","0.0264%"
